"Rule","MatchType","Reason","Publisher","Active","Source","AddedOn","AddedBy","Serial"
"Terminal","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Terugvoer-spil","Name","Base image","Microsoft","Yes","hand-review-1of2","2026-08-26","",""
"To Do","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Weather","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Windows Camera","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Windows Defender","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Windows Defender Advanced Threat Protection Service","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Windows Security","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Windows Store","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Windows Update","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Xbox","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Intel","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Realtek","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Dell","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"NVIDIA","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Advanced Micro Devices","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"AMD","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Synaptics","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Conexant","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Broadcom","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Qualcomm","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"ELAN","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Alps Electric","Publisher","Driver / OEM","","Yes","builtin","2026-09-08","",""
"Visual C\+\+","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Redistributable","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"\.NET (Framework|Runtime|Core)","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Runtime","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Driver","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"WebView2","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Update Health Tools","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Windows (SDK|Assessment)","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Microsoft Edge (Update|WebView)","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Management Engine","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Chipset","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Firmware","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Notification Manager for Adobe","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"GoTo Opener","Pattern","Runtime / component","","Yes","builtin","2026-09-08","",""
"Game Bar","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Mail","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Media Player","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Movies & TV","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Phone Link","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Skype","Name","Base image","Skype Technologies","Yes","hand-review","2026-09-22","",""
"Solitaire & Casual Games","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Tips","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Xbox Console Companion","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Xbox Live","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Mixed Reality Portal","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Remote Help","Name","Base image","Microsoft","Yes","hand-review","2026-09-22","",""
"Adobe Genuine Software Monitor Service","Name","Runtime / component","Adobe Systems","Yes","hand-review","2026-09-22","",""
